id,text
1624861368359833603,"b'@vygruppen Ok, litt billigere hos dere da, koster kr 236,- mot 60,-, hva er \xc3\xa5rsaken? Skal ikke Norge v\xc3\xa6re foregangsland for offentlig transport? Da vi n\xc3\xa5 har stengt ned Oslo for biler?'"
1624855993279475712,b'Not Oslo \xf0\x9f\x98\xad https://t.co/fRm4UeP5Jf'
1624855106721128449,b'@eivindtraedal Enda sykler flere i k\xc3\xb8ben enn i oslo'
1624852489940992002,b'@SimenRafn @HardeMottak Vil sl\xc3\xa5 ett slag for folk p\xc3\xa5 offentlig transport i Oslo og omegn!'
1624852116907884548,"b'@suzi_serken Nei det var ikke mye fart der, kanskje ikke s\xc3\xa5 rart at de sliter med utviklingen. Eller er det kanskje taliban som venter p\xc3\xa5 privatfly til Oslo og bistandsmiddler\xf0\x9f\xa4\x94?.'"
1624850707730817027,"b'VTSost: E6 ved Lindeberg i Lillestr\xc3\xb8m, retning mot Oslo: Vegen er ryddet og \xc3\xa5pen for trafikk.'"
1624850694556602371,b'#Oslo #Adamstuen Tre personer tatt p\xc3\xa5 fersken etter \xc3\xa5 ha brutt seg inn i kjellerlokalene til en bedrift. Politiet er p\xc3\xa5 stedet med to patruljer.'
1624848505758965761,"b'Veldig bra \xc3\xa5 styre anbudsprosessene\xf0\x9f\x91\x87! #beredskap Fryktet kinesisk selskap skulle bygge inn s\xc3\xa5rbarheter i Oslos drikkevannOslo bygger ny vannforsyning. Kravene til utbyggere ble satt slik at et kinesisk selskap ikke skulle vinne anbudet, bekrefter Vann- og avl\xc3\xb8psetaten.'"
1624846484037373952,"b'@ingeborgmhs @TrollkrittIda Nettopp! N\xc3\xa5 er det Akershus og Asker/B\xc3\xa6rum sin tur. Noen er s\xc3\xa5 historiel\xc3\xb8se at de tror de veiene som er lagt under bakken, under sj\xc3\xb8en og i fjell i Oslo har kommet av seg selv, og at det er MDG som har tryllet fram bilfrie gater.'"
1624844252097220609,b'@kaiangell Oslo S til Gardermoen koster 118 kr med Vy.'
1624843218150952961,b'Stor forskjell p\xc3\xa5 dekningen av Arne Treholts d\xc3\xb8d i @nrk og @tv2. @nrk ville helst sluppet \xc3\xa5 ta i saken til fordel for  avsl\xc3\xb8ringer om kineseres interesse for vannforsyningen i Oslo og regelrett vr\xc3\xb8vl fra prinsessen.@tv2 klarte god kritisk vinkling uten \xc3\xa5 klippe Ketil Bj\xc3\xb8rnstad.'
1624842899635548162,"b'@sjakhaaheim Eit av problema er jo at hovedkontor til store bedrifter ligg i Oslo, medan produksjonen ligg ein heil anna plass. D\xc3\xa5 vert verdiane/inntektene registrert i Oslo.'"
1624841973487087617,b'FERSKE prognoser for de ti st\xc3\xb8rste kommunene.https://t.co/8wM1aT34mU'
1624841749930602497,"b'E6 ved Lindeberg i Lillestr\xc3\xb8m, retning mot Oslo: Vegen er ryddet og \xc3\xa5pen for trafikk.'"
1624841619517079557,"b'Lyst til \xc3\xa5 ta med meg klassen til datteren min p\xc3\xa5 avslutningstur for ungdomsskolen. Utgangspunktet er Oslo. Trenger tips. Pris er viktig faktor, selvsagt.'"
1624840563680763904,"b'@andhalse Her er en liten nyvinning fra oss, prognosemodell for de 10 st\xc3\xb8rste kommunene. Ap mister mange av dem:https://t.co/8wM1aT34mU'"
1624840089984532482,b'Hva faen er Oslo Motehus og hvor mange salgsfavoritter kan en butikk egentlig ha?'
1624839952163807232,b'MSFS Norwegian 787 departing Oslo #shorts #msfs #norwegian #oslo #dreaml... https://t.co/rBHXJq9bjb via @YouTube #msfs2020 #MSFS #Oslo #Norwegian #Dreamliner#787'
1624836041445371906,"b'@Andreasmuurholm @ClownWorld_ Oslo, Norway judging by Galleri Pingvin.'"
1624834636743421952,b'@TrollkrittIda Flott \xc3\xa5 se hvor stor forbedring som er gjort med \xc3\xa5 legge trafikken i tunneler under byen. H\xc3\xa5per at Oslo-politikerne ikke stikker kjepper i hjulene for at det samme blir gjennomf\xc3\xb8rt i Asker/B\xc3\xa6rum \xf0\x9f\xa4\x9e'
1624834479263973377,"b'@johanhal @ChrSorgjerd @sirinstav Det er ikke s\xc3\xa5 mange som har lagt veldig mye prestisje i det. Men byr\xc3\xa5dspartiene i Oslo og R\xc3\xb8dt har jo v\xc3\xa6rt temmelig tydelige, deriblant @sirinstav, @eivindtraedal, @andhalse, @WolffElvevold og @RaymondJohansen.'"
1624833030853468165,"b'Oslo f\xc3\xa5r ny forsyning, anbud utformet for \xc3\xa5 hindre Kinesisk spionasje. NRK...\xf0\x9f\x90\xb9\xf0\x9f\xa5\xb6\xf0\x9f\xa4\xac'"
1624832578745249793,"b'26. Oslo, Norway https://t.co/WoDeqCS2OQ'"
1624832464395935751,"b'@eivindtraedal Vel, i Oslo har vi like mange felt i tunell under byen/fjorden. I K\xc3\xb8benhavn g\xc3\xa5r gjennomfartstrafikken mellom K\xc3\xb8benhavn nord/vest og Amager, delvis gjennom sentrum. \xc3\x85boulevarden m.fl. har lysregulering og en urban utforming, akkurat slik E-18 burde v\xc3\xa6rt fra Lysaker til Filipstad!'"
1624832302432899072,"b'\xe2\x81\xa6- @FilterNyheter\xe2\x81\xa9 kan n\xc3\xa5 fortelle at hypotetiske reaksjoner i utlandet kan ligge bak forbudet mot koran-markeringen, uten at det forel\xc3\xa5 noen akutte trusler  som skulle tilsi at politiet ikke kunne sikre demonstrasjonen.Uh-oh. Noen vil slite. https://t.co/VZPiK3YCA7'"
1624831399680253954,b'E6 inn mot Oslo nordfra: Ryddet etter trafikkulykke ved Lindeberg. K\xc3\xb8en vil l\xc3\xb8se seg gradvis.'
1624829282622009345,"b'@sportsjourn Hvis jeg var lagleder for et bes\xc3\xb8kende lag som skulle til Jordal, Gruner eller en av de andre Oslo-hallene ville jeg sterkt vurdert \xc3\xa5 leie buss for spillere og foreldre. Noen klubber har ogs\xc3\xa5 en egen buss, eller en god avtale med busselskap.'"
1624827989849477121,"b'@luddevinje @halvardhraavand Fra Vard\xc3\xb8 til Oslo, derimot.'"
1624826851280445444,b'@budweisa @halvardhraavand Fysisk avstand til Oslo har ikke s\xc3\xa5 mye \xc3\xa5 si n\xc3\xa5r det kommer til flyruter. Man kan komme seg til Granca fra Oslo til under tusenlappen pga h\xc3\xb8y trafikk og konkurranse.'
1624826237779582977,"b'E6 inn mot Oslo nordfra: Trafikkulykke ved Lindeberg. Mulig \xc3\xa5 passere, men lang k\xc3\xb8 mot Oslo.'"
1624825395819298816,"b'@oisincantwell I 1947-50 hadde Norge Kontoret for belgisk murstein. Vi skulle bygge landet, og Oslo fikk et st\xc3\xb8rre parti belgisk murstein p\xc3\xa5 h\xc3\xa5nden, totalt 50 millioner av dem. Den var dessverre ikke av s\xc3\xa5dan kvalitet at den kunne brukes p\xc3\xa5 kysten nord for Stavanger.'"
1624824846310858752,"b'@NRKradio Problemer med NRK P1 og NRK P1 Stor-Oslo, f\xc3\xa5r ikke streamet disse p\xc3\xa5 Sonos. Andre kanaler virker fint.'"
1624824094184161281,"b'@UtlendingT Ser litt ut som en historisk korrekt Jesus. Jobber med \xc3\xa5 skjule penger i Dubai. Spiser mest Gyros og koreansk bbq. Bor p\xc3\xa5 Tjuvholmen. Arrangert ekteskap, men har et harem. D\xc3\xb8den p\xc3\xa5 Oslo S.'"
1624822503641165826,"b'Next on my Norwegian adventures is to revisit Oslo, go to Trondheim and Stavanger/Troms\xc3\xb8.'"
1624822397860737024,b'@Sidemen Oslo Norway\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4'
1624821978098958337,b'Lonely koffert. #airport #lostluggage #osl #gardermoen @ Oslo lufthavn Gardermoen https://t.co/S0fUyvA8Hw'
1624820496008114176,"b'VTSost: E6 ved Lindeberg i Lillestr\xc3\xb8m, retning mot Oslo: Flere kj\xc3\xb8ret\xc3\xb8y involvert i trafikkuhell. Disse st\xc3\xa5r p\xc3\xa5 vegskulder. Noe redusert fremkommelighet p\xc3\xa5 stedet.'"
1624820192403488771,b'@UNDPNorway @Kronprinsparet @UNDP @UNDPS @ASteiner @NorwayMFA @NorwayUN @dagiulstein @noradno @UlrikaModeer @bardvegar @FNsambandet https://t.co/wfiXn26AcOjeg er iransk asyls\xc3\xb8ker i Norge fra 2009 Jeg bodd 14 \xc3\xa5r i Asylmottak Uten noen rettigheter Jeg vant i Oslo tingrett og lagmannsretten Mot UDI - UNE Men Norsk Staten nektet gi meg opphold\xc2\xa0Dette er umenneskelig og ydmykende UDI - UNE \xc3\xb8delagt mitt liv'
1624819477178159109,"b'@TeaVolle Oslo sang en sang p\xc3\xa5 nynorsk, s\xc3\xa5 g\xc3\xa5r sikkert opp totalt'"
1624819054883078144,"b'""Kappkj\xc3\xb8rte p\xc3\xa5 E6 s\xc3\xb8r for Oslo""Ser ut s\xc3\xa5 polisen vant l\xc3\xb8pethttps://t.co/jACnwg1MaY'"
1624818555203080192,"b'E6 inn mot Oslo nordfra: Trafikkulykke ved Lindeberg. Mulig \xc3\xa5 passere, men begynner \xc3\xa5 bli litt k\xc3\xb8.'"
